angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.21,"[150, 429, 114, 128]",0.0,0.06,0.01,0.45,0.24,0.03
0.29,"[151, 427, 113, 130]",0.0,0.09,0.02,0.33,0.22,0.04
0.29,"[151, 427, 113, 130]",0.0,0.09,0.02,0.33,0.22,0.04
0.23,"[151, 426, 110, 126]",0.0,0.06,0.01,0.48,0.17,0.05
0.27,"[149, 418, 114, 134]",0.0,0.07,0.01,0.4,0.22,0.04
0.3,"[147, 418, 111, 129]",0.01,0.07,0.01,0.36,0.19,0.06
0.2,"[148, 415, 110, 125]",0.0,0.08,0.0,0.43,0.17,0.11
0.17,"[146, 411, 112, 129]",0.0,0.11,0.0,0.47,0.19,0.06
0.15,"[142, 406, 114, 132]",0.0,0.1,0.0,0.55,0.12,0.07
0.15,"[141, 404, 112, 131]",0.0,0.12,0.0,0.53,0.14,0.06
0.15,"[143, 402, 111, 130]",0.0,0.07,0.0,0.64,0.1,0.05
0.15,"[143, 402, 111, 130]",0.0,0.07,0.0,0.64,0.1,0.05
0.11,"[142, 398, 112, 132]",0.0,0.06,0.0,0.69,0.12,0.02
0.15,"[143, 394, 111, 132]",0.0,0.04,0.0,0.64,0.16,0.01
0.11,"[141, 392, 112, 132]",0.0,0.03,0.0,0.73,0.12,0.01
0.1,"[139, 387, 115, 136]",0.0,0.04,0.0,0.66,0.19,0.0
0.13,"[139, 383, 115, 139]",0.0,0.05,0.0,0.59,0.23,0.0
0.13,"[136, 378, 119, 142]",0.0,0.03,0.0,0.63,0.19,0.0
0.19,"[135, 376, 120, 143]",0.0,0.06,0.0,0.5,0.24,0.01
0.17,"[140, 372, 118, 141]",0.0,0.04,0.0,0.6,0.2,0.0
0.15,"[141, 374, 116, 138]",0.0,0.03,0.0,0.65,0.16,0.0
0.16,"[139, 368, 119, 143]",0.0,0.04,0.0,0.61,0.19,0.0
0.19,"[136, 362, 123, 147]",0.0,0.04,0.0,0.63,0.14,0.0
0.07,"[141, 359, 118, 145]",0.0,0.01,0.0,0.86,0.05,0.0
0.04,"[146, 353, 117, 142]",0.0,0.0,0.0,0.88,0.07,0.0
0.06,"[146, 352, 117, 144]",0.0,0.0,0.0,0.86,0.08,0.0
0.06,"[146, 349, 116, 144]",0.0,0.01,0.0,0.85,0.07,0.0
0.07,"[146, 348, 116, 144]",0.0,0.01,0.0,0.84,0.07,0.0
0.14,"[145, 342, 119, 149]",0.0,0.02,0.0,0.75,0.09,0.0
0.14,"[145, 342, 119, 149]",0.0,0.02,0.0,0.75,0.09,0.0
0.14,"[144, 339, 123, 150]",0.0,0.01,0.0,0.76,0.09,0.0
0.11,"[145, 337, 121, 151]",0.0,0.01,0.0,0.78,0.1,0.0
